1992,Actor -- Leading Role,Al Pacino
1992,Actor -- Supporting Role,Gene Hackman
1992,Actress -- Leading Role,Emma Thompson
1992,Actress -- Supporting Role,Marisa Tomei
1993,Actor -- Leading Role,Tom Hanks
1993,Actor -- Supporting Role,Tommy Lee Jones
1993,Actress -- Leading Role,Holly Hunter
1993,Actress -- Supporting Role,Anna Paquin
1994,Actor -- Leading Role,Tom Hanks
1994,Actor -- Supporting Role,Martin Landau
1994,Actress -- Leading Role,Jessica Lange
1994,Actress -- Supporting Role,Dianne Wiest
1995,Actor -- Leading Role,Nicolas Cage
1995,Actor -- Supporting Role,Kevin Spacey
1995,Actress -- Leading Role,Susan Sarandon
1995,Actress -- Supporting Role,Mira Sorvino
1996,Actor -- Leading Role,Geoffrey Rush
1996,Actor -- Supporting Role,Cuba Gooding, Jr.
1996,Actress -- Leading Role,Frances McDormand
1996,Actress -- Supporting Role,Juliette Binoche
1997,Actor -- Leading Role,Jack Nicholson
1997,Actor -- Supporting Role,Robin Williams
1997,Actress -- Leading Role,Helen Hunt
1997,Actress -- Supporting Role,Kim Basinger
1998,Actor -- Leading Role,Roberto Benigni
1998,Actor -- Supporting Role,James Coburn
1998,Actress -- Leading Role,Gwyneth Paltrow
1998,Actress -- Supporting Role,Judi Dench
1999,Actor -- Leading Role,Kevin Spacey
1999,Actor -- Supporting Role,Michael Caine
1999,Actress -- Leading Role,Hilary Swank
1999,Actress -- Supporting Role,Angelina Jolie
2000,Actor -- Leading Role,Russell Crowe
2000,Actor -- Supporting Role,Benicio Del Toro
2000,Actress -- Leading Role,Julia Roberts
2000,Actress -- Supporting Role,Marcia Gay Harden
2001,Actor -- Leading Role,Denzel Washington
2001,Actor -- Supporting Role,Jim Broadbent
2001,Actress -- Leading Role,Halle Berry
2001,Actress -- Supporting Role,Jennifer Connelly
2002,Actor -- Leading Role,Adrien Brody
2002,Actor -- Supporting Role,Chris Cooper
2002,Actress -- Leading Role,Nicole Kidman
2002,Actress -- Supporting Role,Catherine Zeta-Jones
2003,Actor -- Leading Role,Sean Penn
2003,Actor -- Supporting Role,Tim Robbins
2003,Actress -- Leading Role,Charlize Theron
2003,Actress -- Supporting Role,Renee Zellweger
2004,Actor -- Leading Role,Jamie Foxx
2004,Actor -- Supporting Role,Morgan Freeman
2004,Actress -- Leading Role,Hilary Swank
2004,Actress -- Supporting Role,Cate Blanchett
2005,Actor -- Leading Role,Philip Seymour Hoffman
2005,Actor -- Supporting Role,George Clooney
2005,Actress -- Leading Role,Reese Witherspoon
2005,Actress -- Supporting Role,Rachel Weisz
2006,Actor -- Leading Role,Forest Whitaker
2006,Actor -- Supporting Role,Alan Arkin
2006,Actress -- Leading Role,Helen Mirren
2006,Actress -- Supporting Role,Jennifer Hudson
2007,Actor -- Leading Role,Daniel Day-Lewis
2007,Actor -- Supporting Role,Javier Bardem
2007,Actress -- Leading Role,Marion Cotillard
2007,Actress -- Supporting Role,Tilda Swinton
2008,Actor -- Leading Role,Sean Penn
2008,Actor -- Supporting Role,Heath Ledger
2008,Actress -- Leading Role,Kate Winslet
2008,Actress -- Supporting Role,Penelope Cruz
2009,Actor -- Leading Role,Jeff Bridges
2009,Actor -- Supporting Role,Christoph Waltz
2009,Actress -- Leading Role,Sandra Bullock
2009,Actress -- Supporting Role,Mo'Nique
2010,Actor -- Leading Role,Colin Firth
2010,Actor -- Supporting Role,Christian Bale
